Number of Plots Generated, Application Close Time Period
1, 0.005518198013305664
1, 0.005991458892822266
1, 0.0055997371673583984
1, 0.004999876022338867
1, 0.005129098892211914
1, 0.0049974918365478516
1, 0.005551338195800781
1, 0.005067586898803711
1, 0.005000591278076172
1, 0.005522727966308594
1, 0.006494045257568359
1, 0.0055234432220458984
1, 0.004999399185180664
1, 0.005563497543334961
1, 0.005305767059326172
1, 0.006002902984619141
1, 0.005989789962768555
1, 0.006000995635986328
1, 0.0050008296966552734
1, 0.005598783493041992
1, 0.006005048751831055
1, 0.0060002803802490234
1, 0.0065271854400634766
1, 0.0060579776763916016
1, 0.00556635856628418
1, 0.005515336990356445
1, 0.00500035285949707
1, 0.00499725341796875
1, 0.005570650100708008
1, 0.005997896194458008
1, 0.005948066711425781
1, 0.005654811859130859
1, 0.005519390106201172
1, 0.005004405975341797
1, 0.005998373031616211
1, 0.005000591278076172
1, 0.005516529083251953
1, 0.005461215972900391
1, 0.005515575408935547
1, 0.004994392395019531
1, 0.006544589996337891
1, 0.006234169006347656
1, 0.005810976028442383
1, 0.005536794662475586
1, 0.005001068115234375
1, 0.005896568298339844
1, 0.005726337432861328
1, 0.005540609359741211
1, 0.005999326705932617
1, 0.0056726932525634766
1, 0.0060002803802490234
1, 0.004994630813598633
1, 0.004895925521850586
1, 0.005515336990356445
1, 0.0058634281158447266
1, 0.004999399185180664
1, 0.00600123405456543
1, 0.006212472915649414
1, 0.005519866943359375
1, 0.005040407180786133
1, 0.005773067474365234
1, 0.006001472473144531
1, 0.005998134613037109
1, 0.006548643112182617
1, 0.00500178337097168
1, 0.00559234619140625
1, 0.0052318572998046875
1, 0.005996227264404297
1, 0.006520271301269531
1, 0.00554656982421875
1, 0.0059986114501953125
1, 0.005442619323730469
1, 0.005522727966308594
1, 0.00500035285949707
1, 0.0049974918365478516
1, 0.005007505416870117
1, 0.005761384963989258
1, 0.008002996444702148
1, 0.005517721176147461
1, 0.004997968673706055
1, 0.005999565124511719
1, 0.005763053894042969
1, 0.005744457244873047
1, 0.005962371826171875
1, 0.005999326705932617
1, 0.005611896514892578
1, 0.0050160884857177734
1, 0.005000114440917969
1, 0.004999876022338867
1, 0.00600123405456543
1, 0.0050165653228759766
1, 0.005795955657958984
1, 0.00599980354309082
1, 0.00500178337097168
1, 0.006258487701416016
1, 0.005996227264404297
1, 0.005126237869262695
1, 0.006208896636962891
1, 0.00599980354309082
1, 0.005724906921386719
2, 0.005751848220825195
2, 0.006497859954833984
2, 0.0060367584228515625
2, 0.005950927734375
2, 0.006011247634887695
2, 0.005774974822998047
2, 0.006001472473144531
2, 0.005998373031616211
2, 0.0057582855224609375
2, 0.0064449310302734375
2, 0.005841732025146484
2, 0.006143093109130859
2, 0.005999565124511719
2, 0.006002664566040039
2, 0.00599980354309082
2, 0.006000518798828125
2, 0.0064809322357177734
2, 0.005732059478759766
2, 0.0065228939056396484
2, 0.006529092788696289
2, 0.005928993225097656
2, 0.00551295280456543
2, 0.005997180938720703
2, 0.005998849868774414
2, 0.0055217742919921875
2, 0.006124734878540039
2, 0.006000518798828125
2, 0.005437612533569336
2, 0.0057468414306640625
2, 0.006000995635986328
2, 0.0060007572174072266
2, 0.005998134613037109
2, 0.005595684051513672
2, 0.0059587955474853516
2, 0.0060002803802490234
2, 0.006007194519042969
2, 0.0060007572174072266
2, 0.006001472473144531
2, 0.0059947967529296875
2, 0.006001472473144531
2, 0.0065097808837890625
2, 0.0057375431060791016
2, 0.0057735443115234375
2, 0.0055005550384521484
2, 0.0060007572174072266
2, 0.006020069122314453
2, 0.0060002803802490234
2, 0.005948543548583984
2, 0.005739688873291016
2, 0.006000041961669922
2, 0.005893707275390625
2, 0.006000518798828125
2, 0.006761074066162109
2, 0.006359577178955078
2, 0.0063822269439697266
2, 0.006531715393066406
2, 0.006455421447753906
2, 0.005978822708129883
2, 0.005999326705932617
2, 0.005810976028442383
2, 0.005998373031616211
2, 0.005519390106201172
2, 0.005998849868774414
2, 0.006514310836791992
2, 0.005960941314697266
2, 0.005510091781616211
2, 0.005959272384643555
2, 0.006514787673950195
2, 0.006012439727783203
